,number,日付,ユーザー名,コメント
618,62-8,2時間前,sub*****,"変異種の話とは関係ないが、現代の日本の政治家はなんでこんなに馬鹿が多いのだろうかと悲しくなります。
言動だけではなく、顔、表情に出ることが恐ろしい。"
619,62-9,2時間前,tak*****,今、国内での変異種が確認されていないからこそ、海外からの帰国者含めて入国の一時停止、入国がどうしても必要な人には精密検査の結果が出るまで、行動の制限をさせていただきますという、政府からの記者会見ではないのですか？
620,62-10,2時間前,Mr.Y,"だから未確認の内に海外からの流入を遮断するべきだろ！
コロナ初期の杜撰な対応をまた繰り返すつもりか！！"
621,63-1,2時間前,,そもそも調べてるの？
622,63-2,2時間前,freedom17cm,官房長官。来年は厳しい事になるのではないかな？
623,63-3,2時間前,ftiftitd*****,危機感ゼロ。誰かこいつを官房長官のポストから外してくれ
624,63-4,2時間前,mac*****,"また確認されるまで緊張感を持って見てるだけですか？
確認されてからでは遅いです。JALやANAに丸投げじゃなくてら先手先手で国が情報収集したり対応の検討・判断しないと。"
625,63-5,2時間前,さる,もうこの顔が何を言っても誰も信用しませんよね。
626,63-6,2時間前,dou*****,"だから何？
どーせ遅かれ早かれ日本に来ますよ。
今のままじゃ間違いなく。"
627,63-7,2時間前,wub*****,確認されてないからヨシじゃないよ！確認される前に止めてくれと言ってるんですが…伝わってる？
628,63-8,2時間前,kaz*****,"ワクチン承認下りたら、国民ではなく一番に政治家に試し打ちしてもらいたい。
国民をモルモットにするのではなく、国民の為にモルモットになってもらいたい。
で、安全確認が取れれば国民へ！！！！"
629,63-9,2時間前,duality,何はともあれ変異は続くよどこまでも！ いい加減に気付こう、ほとんどの人に対し、免疫を頑強にしてくれるものに対し無謀なインパール作戦にマスク従軍していることを！ 少し考えればわかる、PCRもワクチンも無駄だと。
630,63-10,2時間前,fre*****,"この人が『確認していない』と言っても、信用する人はいるのだろうか。
見に行かない内閣では、見に行かないものは確認できないわな。"
631,64-1,2時間前,,確認出来た時点では既に広まってるよなー
632,64-2,2時間前,yam*****,日本は水際で止めることは難しいと思うな。イギリス便の入国を禁ずる命令なんて菅さんには無理だろう。
633,64-3,2時間前,T.I 14,"コロナ変異種は、ファイザー開発のワクチンでも対応できるの？
インフルでも型が違うとワクチン効かないことがありますよね。

その調査を早急に実施・確認して、公表してほしいです。"
634,64-4,2時間前,iuf*****,外国にいる人を入国させんなよ！？
635,64-5,2時間前,x121212,"仕方ないが
分かったときは。
思っただけで背筋が凍る"
636,64-6,2時間前,O*****,"今すぐ入国制限してください
早めに予防しておくことが大切です
数々の失敗を踏まえて行動してください"
637,64-7,2時間前,fuc*****,"今のPCR実施状況だと、
たとえ今変異種の感染があっても、
確認できないでしょうね。
発見した時はもう感染拡大しているはず。
予防？無理で当たり前でしょう..."
638,64-8,2時間前,夕食カレーはＨの合図,"加藤君、お前はア～ホ～～か？
国内で確認出来てからなら遅いだろ違うか？
英国政府？ＷＨＯ？
今やることは何か考える頭無～のかよ"
639,64-9,2時間前,min*****,もうそんなの、信じないもん。しかも2週間くらい潜伏期間あるならまだ出てないだけでそろそろ出てくるんじゃないのかね。そんなこともはや言われなくたって多くの国民がわかってるだろうにね。
640,64-10,2時間前,名無しストリーター,国内未確認って！そりゃアンタ　確認された時にはもう手遅れじゃ！
641,65-1,2時間前,min*****,もうそんなの、信じないもん。しかも2週間くらい潜伏期間あるならまだ出てないだけでそろそろ出てくるんじゃないのかね。そんなこともはや言われなくたって多くの国民がわかってるだろうにね。
642,65-2,2時間前,cic*****,すぐにイギリスと言わずヨーロッパからの入国を禁止して欲しい。
643,65-3,2時間前,aki*****,"未確認の内に該当地域からの入国を制限すべき。
また後手にまわって国内に蔓延させる気なのか。"
644,65-4,2時間前,wjn*****,加藤くん、ちゃんと包み隠さず本当の事を言うのだよ。
645,65-5,2時間前,Km,ずっと後手後手で失敗してきている。起こってからでは遅いんですよ？次は何のせいにする気なんでしょうか。先手を打って入国規制してください。そろそろ学んでください。
646,65-6,2時間前,spo*****,"国内で未確認なら良かったね。
今ならまだ間に合うから早急に対策しないとね。
早急にね。"
647,65-7,2時間前,fjt17000,模範的な回答ですけど、本当に大丈夫でしょうか？過渡な不安を煽るようなコメントは控えるべきだとは思いますが、渡航制限をより厳しくする等、徹底して欲しい。
648,65-8,2時間前,vsj*****,Ｆｲﾁ事故以来、政府発表を鵜呑みしないようにしています
649,65-9,2時間前,bon*****,いい加減にしてくれよチャイナさんよ！
650,65-10,2時間前,dai*****,確認しようが、なかろうが、今の政府官僚たちに期待すらしてません。
651,66-1,2時間前,,"だから海外からの渡航者や帰国者の入国審査を厳しくしろと皆んな思ってるんだよ。
オリンピックがやりたいからと早々に緩和してるのは日本だけだ。"
652,66-2,2時間前,mas*****,"さあヒハン感染者のみなさん一緒に唱えましょう！

♪ゴーテ、ゴーテ、ズーサ〜ン、ズーサ〜ン"
653,66-3,2時間前,soh*****,政府は全ての患者を精査してないだろうし、未確認という場合の検体の数字を公開してない。変異がないという確固たる根拠を示してない。それ以前にこのウィルスの性質をまだ国民に公開していない。何故公開しないのか。ウィルスは何度で死ぬのか、何日で死ぬのか。対策ばかり公表して本質を国民に伝えてない。
654,66-4,2時間前,mas*****,海外との往き来を再度早急に(変異ウイルスが中国株が入ってきた時のように入ってくる前に)停止すべき️クリスマス休暇で日本になし崩しで入れるな️
655,66-5,2時間前,あはん♡ストラッシュ,あなたが十分国会の変異種です。
656,66-6,2時間前,mzg*****,そんなの、大事ない
657,66-7,2時間前,B*******,"正確には検査した中では確認できていない、ですよね。

無症状で検査していない人はわからないので加藤さんの回答は100%日本国内に存在しないと言うこととは違うと思いますが。"
658,66-8,2時間前,ma3*****,"今後の対応を具体的にどうするかくらいまでは答えないと不安になるだけ。
国内で確認されるまでは対応しないつもりならその考えは改めた方が良い。
別にイギリスからだけ入ってくるわけでもないでしょうから少なくとも空港での検疫は直ぐにでも対応した方がいいと思いますが？
事あるごとに頼りなさを感じます。"
659,66-9,2時間前,ide*****,"この変異種に対しても東アジアの人種にみられるファクターXは通用するかのー。
しないとえらいことやで。"
660,66-10,2時間前,sre****,"だから入国再制限はしないってか？
はっはっはっ、いい加減にしろよマジで。
コロナを舐めるのにも限度ってものがあるぞ。"
661,67-1,2時間前,,"なにもしない政府って言うより想像力が致命的に欠如している人が集まってしまった感じ。
後手後手っぷりが東日本震災の時のカン内閣以上。

あんなにひどい政権は今後ないだろうと思ったら
名字の書き方が同じ、読み方が違うだけで更にひどいなんてね。"
662,67-2,2時間前,win*****,"日本国内でも
変異種が出回ってるだろうな

今までの感染症対策しても
効いてないんだもの"
663,67-3,2時間前,gol*****,"あいも変わらず海外から入国させているので程なく見つかる事でしょう
まことに残念ですな"
664,67-4,2時間前,zero****,嘘つけ東京型は変異種だろｗ
665,67-5,2時間前,nay*****,完全に鎖国しないと無理
666,67-6,2時間前,clo*****,"初動が遅くて武漢からも欧州からもコロナに侵入されたんだけどね。
まぁ、どうせ同じ事を繰り返すのでしょう。"
667,67-7,2時間前,akko,現時点では入国の際の公共交通機関の利用はまだ不可のようですが、それを無視して利用している人たちを監視できているのでしょうか？2週間の隔離期間中に、滞在先のすぐ近くのコインランドリーを使う人を監視するのは難しいかと思います。
668,67-8,2時間前,jgy*****,加藤はキチッと調べてからコメントしてるのかなあ。厚労相を中途半端に放り出した奴に言われても信用出来ないね。
669,67-9,2時間前,sakusaku,"気づいたときには手遅れだって
何でわかんないのかねー。"
670,67-10,2時間前,gfp*****,"加藤官房長官、とても優秀な方だと大変期待していましたが、研ぎ澄まされた爪はいつまで隠しておかれるのですか？
このまま、原稿丸読みのパフォーマンスは似合いません。出来るんですから少しはピリッとしましょうよ。あなたは菅さん達とは違うと思っているのですよ。頑張ってください。"
671,68-1,2時間前,tck*****,"あたりまえだ！

変異種のコロナを日本国内で確認したら手遅れなんだよ！

今すぐに、そうならないように入国制限や厳格な検査と隔離期間など対策を打つのが、あなたたちの今現在の唯一の仕事だ！"
672,68-2,2時間前,jtj*****,"解らない物には
まずは恐怖を抱かないと
何でもかんでも大丈夫とかお花畑にならない"
673,68-3,2時間前,k_h*****,"こいつアフォか！
国内で確認出来てからでは遅いんじゃ！
自分さえ良ければがここにも居たか・・・"
674,68-4,2時間前,sun*****,この政権の様子じゃあ、すぐ日本にも入ってくるだろうね！
675,68-5,2時間前,na_*****,"事実はともかく、
隠蔽しているだけとしか思われない状況。"
676,68-6,2時間前,jpm*****,来週には確認されるよ
677,68-7,2時間前,mor*****,"信用できない人
ウソをつく人として国民に浸透してしまってる"
678,68-8,2時間前,hid*****,"我が国では確認されてない　っと　どや顔で言われて　なにもしない政府に国民はどうすればいいの？

国民の安全第一を思っているのなら、安全確認とれるまで用心(渡航ストップ)した方がいいんじゃないの"
679,68-9,2時間前,hgn*****,来日する人の制限をかけないと日本人だけ頑張っても効果ないよ
680,68-10,2時間前,bbm*****,もう入ってきてると思う
681,69-1,2時間前,sir*****,"コロナウイルスは性質上、変異できる回数がおおよそ決まっているとの見解だ。そうだとすれば今回の変異が最後となり、人類に大きな危害を加えない「普通の風邪」になると考えられるのだ。「第3波」はコロナの“最後の悪あがき”かもしれないのだ。
ってマスコミさんは１１月に言ってましたが？"
682,69-2,2時間前,yuu*****,すでに日本に入っているかもしれない
683,69-3,2時間前,qsj*****,"もう誰にも信用されてませんよ
未確認なら入ってこないように何ができるのか説明しろよ
平和ボケして国民の命を危険にさらす無能集団か？"
684,69-4,2時間前,qyz*****,先手先手の対応を切にお願い致します！
685,69-5,2時間前,tsu*****,"発症しないと検査しないからでしょ
だから、入る前に止めろ！
病床は逼迫しているんです！
全員辞職しなよ！退職金なしでね！"
686,69-6,2時間前,kottu,今すぐ鎖国しなさい！
687,69-7,2時間前,qe8*****,"注視してるだけなんで見てる間に入って大騒ぎになるのは確実ですね
ため息出ますね"
688,69-8,2時間前,kat*****,「今は」未確認でも、入国禁止措置をとっていない以上、どこからでも変異種のウイルスが入り込むかもしれないのに。。春節の時と何一つ変わっていない。。。後手後手すぎる。
689,69-9,2時間前,lad*****,確認されていない今のうちに有効な対策を打つべき。このまま変異ウイルスが上陸・拡散するのをただ待っているつもりなのか？学習しないにも程がある！いい加減にしてほしい。
690,69-10,2時間前,uaw*****,"信じられない。
なにいってんの？"
691,70-1,2時間前,Xyz,"コロナは風邪って言ってる人まだ居るかな？
この状況を是非説明してもらいたい、笑"
692,70-2,2時間前,yui*****,"未確認ならいいのですか！この人達は一体何処の国の人達なんでしょうか。
とても日本国民の為に発してる言葉ではないですね！
毎回毎回呆れてしまいます。
政治家のせいで日本終わちゃいますね。"
693,70-3,2時間前,bro*****,だったら国内にウイルスが入る前に手を打つべきでは…
694,70-4,2時間前,mec*****,早く対応してください！今度こそ、春節の頃のような事がないようにお願いします！
695,70-5,2時間前,ter*****,"現在、日本の入国時にはPCR検査もない状態で緩すぎる。また入国後のアプリによるフォローアップは有効なのか。

データが公表されていないので分からないが、国は入国後に感染した人数を把握しているのだろうか。もし把握しているのなら公表すべき。
タイでは入国時のPCR検査で陽性となった人数を毎日国別で公表している。また陰性でも14日間ホテルにて強制隔離をしている。

オリンピックのために検疫を緩くすることばかり考えるのではなく、効果的で有効な検疫体制をお願いしたい。"
696,70-6,2時間前,aao*****,速やかに、入国禁止命令を。
697,70-7,2時間前,ken*****,"この人の発言には信憑性が…。
何を言ってもウソくさく聞こえる。
そもそも、安倍政権菅政権がウソで塗り固められているからなぁ。"
698,70-8,2時間前,tar*****,スーパーファミコン「シムシティ」のDr.ライトに見えます。
699,70-9,2時間前,mig*****,"スペイン風邪の時は、その変異種で大多数の犠牲者が出た。
コロナはどうかなぁ。
今のところ収束の見通しが立ってる国が一つもないってのが問題だよね。
ワクチンも効くのか分からんし"
700,70-10,2時間前,wof*****,"鎖国するしかない。
覚悟決めるしかない。"
701,71-1,2時間前,gug*****,"じゃ、なおさら、いますぐ手を打たないと。
確認されてからじゃ、遅いんだから。"
702,71-2,2時間前,ton*****,とっとと入国禁止にしろやクソボケ️
703,71-3,2時間前,jum*****,"入国制限を緩和して入国を許可したり、
ＧｏＴｏを後手後手で対応したり、
すべてがコロナの現状に対して矛盾ばかり、
菅政権がオリンピック中止に向けて指揮を執っているのか？"
704,71-4,2時間前,scg*****,もう少し緊張感のある顔の方にして頂きたい（笑）
705,71-5,2時間前,*****,"イギリス渡航者から、
すぐ入ってくる

と思って当然。対策は？"
706,71-6,2時間前,ham*****,"国立感染症研究所の研究チームの発表によると
３月から感染拡大したのは
欧州系統の遺伝子配列を持つウイルス。
６月中旬からは東京を中心に新たなタイプの遺伝子配列の
ウイルスが突然出現して全国へ急速に拡大している。

そして特定の国からの帰国者はずっと受け入れており、
今は制限を大きく緩和して入国者を増やしています。
一貫して少なくない人数が検疫ではじかれ、
陰性証明書を持参しているのに検査すれば陽性が珍しくない状況かつ
政府は現場任せで管理できていないと聞きます。
とても危険な感じはしますね。"
707,71-7,2時間前,y_o*****,EU域内ではすでに航空機の乗り入れ禁止となっている。日本も同様にすべき。変異種は英国だけでなく豪州も発生しているらしいのでこちらも注意しなければならない。
708,71-8,2時間前,tkr*****,"変異種が確認されないうちに、入国制限をかけろよ。
と思ってるけど、もう遅いんだろうな…"
709,71-9,2時間前,tom,"どうせ 直ぐに輸入する。

のんびりしている暇はないはず。

真剣に対策しないと取り返しがつかなくなる。

慎重に…"
710,71-10,2時間前,gfo*****,"未確認。。。日本の対策は？　　確認してから動く訳？　またのんびり静観ですか？
プライド高い　たわし男"
711,72-1,2時間前,tot*****,"未確認　＝　調べていない
それだけの話
PCR検査自体が発展途上国以下の日本で変異種が引っかかる可能はかなり低い
PCR検査削った安倍の負債がここでも威力を発揮だね"
712,72-2,2時間前,kam*****,"そりゃ、確認されていたら大変でしょう・・・
「感染拡大しないために、こんな対策してますから安心してください！」
とか言って欲しいですね。"
713,72-3,2時間前,ki*****,今はいなくても、時期に来るのなら、早く国外からの入国を厳しくするしかない。　そんなことぐらい、小学生でもわかることを、なぜしないのだろうか？　おそらくは、オリンピック開催するために、国民に感染させて、免疫たいおうするつもりなのだろうな。
714,72-4,2時間前,gbp*****,"現在、国内で確認されていないのであれば、水際対策を徹底して国内流入を完封する対策をとるべきです。
入ってしまえば現在のコロナと同様に拡散してしまいます。"
715,72-5,2時間前,ohk*****,"調べてもないのに適当な事言うな！
支持率30%代！"
716,72-6,2時間前,kny*****,未確認でも、具体的にどんな対策とるのでしょうか？外国からの入国禁止をまず一番にして欲しい。確認出来てからでは遅すぎるので。
717,72-7,2時間前,馬っ鹿,即時入国制限かけろよ。
718,72-8,2時間前,rim*****,異種型の情報を至急確認し確認でき次第、早急に対応してちょうだい！
719,72-9,2時間前,ind*****,"遺伝子解析しているなら、国内各地の検体からその由来がわかっているはずなのでは？
ＧＯ　ＴＯとの関連も証明できるのでは・・・また隠ぺいか？"
720,72-10,2時間前,＊＊＊＊adg,確認できてないからと言って、海外からの野放しな入国を許していいはずがない。確認した時には遅い。
721,73-1,2時間前,,悪いけどあんたの言うことは全て信じられない。
722,73-2,2時間前,mot*****,"だから入国禁止にはしません。
するなら変異型が確認されてから、ですか？"
723,73-3,2時間前,lxz*****,"そんなことを言ってる間に、はやく、はやく、一刻もはやく、ヨーロッパからの入国を止めよ。
加藤さん、ぼんやりしてたらダメです。はやく動け！"
724,73-4,2時間前,サクラ＊＊,"まだ新種が日本に入ってきていないなら、きな侵入を止める手立てをしてください。
外国からの入国禁止しかないでしょう。
それでも、密入国もあるから、いずれは入る。それまでにワクチンが間に合うかもしれない。
新種はロンドンの再ロックアウトを招いたが、
人々はロンドンから逃げ出したとの事。
東京の再ロックアウトも確率高い。"
725,73-5,2時間前,nsr*****,また何もしないつもりですか？入国者の制限と緊急事態宣言を発してコロナ感染者の数が増えるのか減るのか確認して欲しい。
726,73-6,2時間前,波平,"言葉が足らなすぎる。
例えば、入って来るのは避けられないから、今から対応策を取っていきます。
となぜ言えないのか？"
727,73-7,2時間前,僕ちゃん,"いやいや、これからでしょ！

確認されてからでは遅いって！

今度こそ、早めに対策を実施する必要があると思うけどね。

さあどうする！菅 総理大臣。

本当に、このまま無能な総理大臣で終わる気ですか？
それとも、少しは支持率を回復させますか？"
728,73-8,2時間前,笑顔でみんなの心が笑顔だと、みんな笑顔,"変異種の特徴が感染力があるしか、まだわかっていない。
医療従事者に、判別の方法が伝わっていないので、まだわからないが妥当だとおもうけど。
コロナはコロナしか解答ができないと思う。"
729,73-9,2時間前,j_k*****,"現時点で国内未確認なのは、逆に残念なくらい。今後は、変異株流入防止という難題に取り組まなければいけない。そして、それを今の政府に期待できないのは明らか。今後、感染状況悪化の要因が加わるという事。

メディアの悪意か。自信ありげな加藤さんの表情が憎らしい。"
730,73-10,2時間前,mel*****,オリンピックは無理ですから。今すぐ手を打って下さい。政治家じゃないとできないことあるでしょ。そちらが最大限努力してくれないと、国民は踏ん張りきれないですよ。
731,74-1,2時間前,0011,ウソついてる顔じゃないか！
732,74-2,2時間前,sh7*****,今の政権は後手後手だから、今度こそ先手を打って海外からの入国を禁止にすべきだ。
733,74-3,2時間前,zan*****,"未確認ってことが確認できた。
ウイルス怖いね。"
734,74-4,2時間前,tomohi,政権擁護が一斉に湧いて来てヒドい。
735,74-5,2時間前,hnl*****,信用度０
736,74-6,2時間前,y31*****,"コイツが「確認されてない」と言うって事は
確認済みだって事だな。

「確認されてない(発見されてないとは言ってない)」とか

後になって
「確認はしていたが変異種とは限らない」

とかそんな事言い出すんだろどうせ。
いよいよヤバくなってまいりました…"
737,74-7,2時間前,mm,"どうせいオリンピックするんでしょ？
それで全部台無しになりますね。
殺人オリンピック。"
738,74-8,2時間前,*****,"入国規制でもしない限り、ウイルスが入ってくるのは時間の問題だと思う。
それに、今の政府の言うことを誰が信じるんだろう？"
739,74-9,2時間前,muc*****,"未確認って、言葉通り変異株の遺伝子配列を確認してないだけでしょう。
正直、検査だけで手一杯で研究がそこまでスムーズに進んでいるとは思えないし。
入国規制緩和後に感染者数が急に増え出したし、変異株はもう入ってきているかもね。
これだけ感染者がいるのだから、まさに国内でも発生するかもくらいの考えでいた方がいいのでは。
感染力が強くなっても弱毒化してくれたらいいのですがね…"
740,74-10,2時間前,eel*****,コイツの言うことは嘘ばかりだな～。
741,75-1,2時間前,tan*****,"日本にはコロナ流行して数か月後に「東京型」が出来たからな。

東京型、東京型ってメディアで言い始めたら東京都民から苦情が来てたのと、
東京五輪があったから地上波で東京型コロナって言葉は消えたけど…
そこから更に北海道や大阪での感染拡大で同じように変異してるだろうとは容易に想像は出来る。

地域名で〇〇型はもう二度と使われないんだろうね。
ウイルス相手に変異するなって無理な話だし、
どこかで暴露されてまた炎上するんだろうなぁ…"
742,75-2,2時間前,nrs*****,国境を閉鎖してください。マヂで。
743,75-3,2時間前,isl*****,未確認じゃなくて、もう世界では見つかっているのだから「対策考えます」と答えろよ。
744,75-4,2時間前,料理は好き,確認されていないうちに対応を決めないと。
745,75-5,2時間前,g20*****,"「コロナ変異種」と言う言葉が独り歩きしていると感じる。

ジョンソン大統領の発言「従来種よりも感染力が強い」とか、オランダ政府の声明「検出も難しい」とか、科学的に有意な差があるとするなら、どうやって判明したのか興味がある。

コロナウィルスは変異種が多いのと、冬場は呼吸器系ウィルス感染症は感染拡大の傾向がある。それを踏まえると、判断が付きにくいはず。

根拠とした科学的なデータを、一般向けにも報道して欲しい。"
746,75-6,2時間前,ky5*****,"ウイルスは常に変異しています。大きな変異があったのだと思います。基本的に強毒性に変異することはあまりありませんが、伝染力は強くなります。
暫く様子を見る必要がありますが、いたずらに不安を煽るような報道はよろしくないと思います。"
747,75-7,2時間前,********z,"外国から無制限で入国しているんだから
時間の問題
加藤さん手遅れですよ、無責任な発言だし・・・"
748,75-8,2時間前,bok*****,未確認の内に入国規制をすぐにして下さい、スピードが大事です今まで全て手遅れになってから行動してたのですから。
749,75-9,2時間前,ely*****,"加藤は注視しかできません
腰巾着でここまできた輩ですから"
750,75-10,2時間前,qpq*****,毎日のように空港に「ご到着」してるんだから、時間の問題で100パーセント変異ウィルスも日本に輸入されます！
751,76-1,2時間前,,お前は喋るな！
752,76-2,2時間前,gtk*****,"また後手に回る前に入国制限をして頂けるのでしょうね？
やるなら今すぐですよ！"
753,76-3,2時間前,uni*****,コロナウィルスのワクチンは変異型にも対応しているとのことで、少しだけほっとしました
754,76-4,2時間前,iku*****,腹立つなぁ、この顔ー。
755,76-5,2時間前,Sishio,"「諸外国の感染状況、対応を注視しながら感染防止対策に努めていきたい」コレばっか
諸外国に先んじて対応するを見てみたい"
756,76-6,2時間前,arr*****,未確認は分かるけどいつ入ってくるか分からないんだから入国制限緩和なんてヤメるべきじゃないの？
757,76-7,2時間前,おっぱい聖人,この国の危機管理能力の低さなのか、臭いものには蓋をする悪しき文化なのか、事勿れ主義の賜物なのか、誰も責任取らないなら本当の事言っちゃえば良いのになw あ、本当に分からないなら分からないので良いんだけどね？笑にしても先手先手と対策できない木偶の坊ばかりなんだなー日本ってのは
758,76-8,2時間前,eto*****,政府は反省できない系アホやから、ゴテゴテ対応で来年は変異種が爆発的に流行ってオリンピック中止して、菅内閣総辞職すんのかな？
759,76-9,2時間前,冷静な国民の一人,"お前らから何を言われても全く安心感に繋がらない。
それが答え。もう政府としての存在意義が無い。"
760,76-10,2時間前,kis*****,「未確認」「異常なし」「直ちに影響はない」と言って思考能力が停止するのがいつものパターン
761,77-1,2時間前,kis*****,「未確認」「異常なし」「直ちに影響はない」と言って思考能力が停止するのがいつものパターン
762,77-2,2時間前,tak*****,"オリンピック開催数日前まで鎖国すべき。
さもないと開催無理となぜ理解できない？"
763,77-3,2時間前,kaw*****,"何で、日本もすぐに対応しないのかなあ？中国からの入国禁止措置の
遅れによる拡大、イタリアなどのヨーロッパ諸国からの入国禁止措置の
遅れからの拡大。何度経験すれば、タイムリーな対応ができるのだろうか。
日本政府の、真摯な取り組みに期待。"
764,77-4,2時間前,mis*****,"国内未確認なのに、騒ぐんじゃないよ
と言いたいのでしょうね
確認されてから対策を考えるつもりのようです
菅政権に政権を任せると、日本はコロナで滅ぶよ"
765,77-5,2時間前,dpp*****,この人が言うと全てが胡散臭く感じる。
766,77-6,2時間前,mur*****,"まるで他人ごと、危機感、見通し無し
情けない政府ですね
自分自身で守るしかないのか！"
767,77-7,2時間前,tak*****,だったら、今のうちに入国規制するとか、考えてくれないのかな。
768,77-8,2時間前,三太郎,"この官房長官は腰が重すぎる、全てが後手後手で答弁にも中味がない、
率先して何もしてないし何か目線が他人事なんだよな、
この人、ダメだよ。"
769,77-9,2時間前,gre*****,"ワクチン、俺は打たねーよの加藤官房長官が言っても調べているのか、いないのか怪しいかぎりだな。もう菅内閣の誰も信用できない。
菅政権の五流政治、全く新型コロナ対策や経済対策の基本がなく場当たり的政策。
台湾、ニュージーランドを見習えよ。
感染患者が増えて医療崩壊が起きても、指を咥えて黙って見ているだけか、本当に情けないぞ。
新型コロナ対策第一だの国民の為に働く内閣だのと、菅総理自身が国民の為に、何か政治決断をして実行したのか皆無だし、銀座での会食だけは実行したな。
明確な対策も無く何をしたいのかが全く判らないし、これじゃもう沈みゆく日本だ。
本当に危機感が無い政権だよ。
いつの時代の政治をしているんだ、江戸幕府的政治だな。
スピード感もゼロ、もう経済と新型コロナをどの様に回せば良いのか、菅内閣全員で寝ないで国家、国民の為に考えて下さい。
高級店での会食ではなく弁当持参で官邸内でお願いします。"
770,77-10,2時間前,eog*****,コロナとGoToの因果関係を屁理屈をこねながら否定していたのは、こいつでしたっけ？なので、何をほざこうが、ハイそうですかと信じる気になれませんね。
771,78-1,2時間前,poi*****,この人の言葉、受け売りの言葉を右から左に流すか、自分は聞いていない(菅さんが決めた事だから)となすりつけるだけ、課題認識出来ないし、解決も展望も話さない。名ばかりの官房長官。
772,78-2,2時間前,ise*****,加藤は今度は何人殺すんだ？
773,78-3,2時間前,uat*****,"入国規制の強化をしなくていいのか？
ここで先送りして、変種の感染者が国内で出たら間違いなく政府の責任である。"
774,78-4,2時間前,nts*****,確認してからでは遅いよ。
775,78-5,2時間前,oke*****,ワクチンの接種が進む前に入国制限緩和してたら変異種紛れ込んで混乱広がるのも時間の問題では
776,78-6,2時間前,wbk*****パランタガヤン,"なんか本当の事を話しているのか疑問でしかない。
この人はどうも信用出来ないし、
頼りがいもない。"
777,78-7,2時間前,fmj*****,"ノーガードで中国韓国ベトナム人入国中。
あっという間に変異種も入るんだろうな。
なぜ外国人を入国規制しないのか、政権が倒れても入国させそうなんだが。自民党が分裂して日本人のために働く党を作ってほしいよ。"
778,78-8,2時間前,iljvm,"未確認なのであれば安心せずに海外から流入しないように再度出入国を厳しくするべき。
今は英国をはじめとする欧州が危ないと言われているけど、その地域を含む複数の国を飛行機で移動している人もいるので、地域や国を限定せずに出入国を最低限にし、隔離も強制すべき。"
779,78-9,2時間前,mo_*****,"また、後手になってしまうのか？！
正しい決断を即やる能力があることを祈ります！"
780,78-10,2時間前,ヤーくん,"海外から持ち込まれたのか、国内で変異したのかわからない。
ワクチン効きますか？"
781,79-1,2時間前,lo.co.,危機意識のない無能な役人らによって、年明けに、また同様の感染が広まるんだろうな。
782,79-2,2時間前,mim*****,"国の為に業務をせず自分の私利私欲　だけ
今すぐ入国させている外国人を止めろ"
783,79-3,2時間前,new*****,"菅をはじめ、加藤も政治能力が相当低いのでは？

大変申し訳ない、変異種は未確認、等の感想や事実しかコメント出来ない政治家。

国民が求めているのは、今後の取り組みに関する内容詳細、政府の姿勢なのでは？"
784,79-4,2時間前,uaz*****,政府の言うことはぜ〜んぶ信じません
785,79-5,2時間前,sao*****,"早めに対策しとかないと。

今の状態でも医療崩壊起きてるのに、早急に対応しないと亡くなる人達が増加するとおもう。"
786,79-6,2時間前,kut*****,呑気にやってたらこっちに来るのは時間の問題
787,79-7,2時間前,psj*****,さっさと入国制限
788,79-8,2時間前,mat*****,"官房長官は専門家ではないですよね
あなたの言葉は信用できません"
789,79-9,2時間前,mm,"確認されていないなら確認されないように鎖国を即刻やらないといけない。

５万円もするステーキ食ってないで、仕事しろよ。"
790,79-10,2時間前,hxe*****,"御べっちゃら記者さん、コロナ変異種の質問、田村厚生大臣にしないと。
加藤官房、西村再生の両大臣コメント、無くても有っても困らないと云いたいが、安心成らないから困るのう。"
791,80-1,2時間前,bul*****,加藤の顔写真が突然変異したのかと思った。
792,80-2,2時間前,vam*****,もう何もやらんだろうな。こいつら。
793,80-3,2時間前,太郎,そのロで、入る前にブロックして下さい。
794,80-4,2時間前,hyt*****,もう、この人たちの言うことは信用できない。小学生の方が信頼できる。
795,80-5,2時間前,rem*****,"懲りないね政府
感染者が確認されてからでは遅すぎるのは過去の経験
生かされない
これじゃ何の補正予算ですかね
経済とコロナ感染は同時にできないこと証明されたのに
無能の一言
感見つかりました 国内感染に努力します 防止策をとりましたがまん延しました
医療崩壊の危機です 皆さんご協力をお願い って今回もこの流れ
学習能力ない為 じわじわとくるしめられる気持ち
ムダ金は出ていく 先は見えない 年の瀬"
796,80-6,2時間前,han*****,"欧州でコロナの異変種がささやかれはじめたのは だいぶ前です。それなのに日本は海外からの受け入れを緩和したのだから信じられません。
異変種なら今のコロナの予防薬では効きませんよ。いつまで後手に回っているのか。
自分達は安全な所で 集団会食が次々にわかってそれで国民に三密だとか会食の人数制限とか言うのだから信じられません。"
797,80-7,2時間前,son*****,"開いた口が塞がらない、とはまさにこのこと。
確認されてからでは遅い。現場では今でも対策に汲々としている中、感染力の高い変異種なんて悪夢過ぎる。即刻、渡航制限すべき。"
798,80-8,2時間前,kur*****,未確認ってだけだ、無いとは言ってない。海外からの渡航がある以上、時間の問題で確認されるでしょう。第一村人は誰になるやら。コロナになることも怖いけど、なった時の周りからの反応を考えるともっと怖い。
