,number,ユーザー名,コメント
448,45-8,koy*****,もう｡そんなせこい規制かけたところで燃え上がった家にバケツリレーで火を消しているようなもの10人に1人は感染者なんだよ?ロックダウンするしかないでしょ｡東京を完全封鎖しなければこの増加は止められないでしょ｡本気で止める気あるんだったらスピード感出さないと｡1日遅れるだけで1500人増えるのにその話し行動するだけで何日かかってるのか？最近じゃガースー痴呆障じゃないのと思う
449,45-9,tgjedam,公共施設の開放も完全に一度停止しないと、もはややりたい放題になってます。
450,45-10,da7*****,"なぜ２月７日まで？
中国の春節に備えて解除するのですか？
親中媚中が過ぎると思います…"
451,46-1,gem*****,感染拡大の原因が、特に、アルコールを伴う飲食店が原因のような非常事態宣言で、全くの中途半端。要請無視の店の公表は良いが、そこに行った客の名前を公表するべきです。本当に、感染拡大を抑える気があるのでしょうか。
452,46-2,qxg*****,"何で科学的根拠を示さないのですか?
一ヶ月の飲食店２０時制約だけで、抑制できるとは、庶民としては思えないのですが?"
453,46-3,憂国の士,テレビ局のバラエティが一番に止めるべき
454,46-4,kec*****,"当たり前です
おさまらなければ　当然　延長ですよね？
したがわない店は　厳しいペナルティを"
455,46-5,nor*****,"宣言を出して結局のところ、何でもかんでも締め付けをするだけ。
締め付けに従う為の対価を提示してますか？
賃金補償とか、給付金とか…
何も示さずに、ただの強制。
そんなんじゃ従う意味がない！
所詮は自分の自己顕示をする為だけのパフォーマンスにしか見えないよ。
無能自民党のお偉いさんたちよぉ〜！！！怒"
456,46-6,pac*****,"全く意味のない緊急事態宣言になりそう。
こんな程度じゃ抑えられないでしょ。"
457,46-7,hir*****,"ウチの家族も一日￥30,000、給付していただければ、家族４人家でおとなしくしていられます️"
458,46-8,sug*****,"効果はわからないがワクチンが行き渡るまで動きを止めないとズルズル行くと思う。
結果ワクチンが役にたたなくても減らせる。
今の状況は先に希望がない"
459,46-9,じんぼーちょー,"諸悪の根源は二階
去年の春節時に中国人大量入国
GO toの首謀者
最近の中国人入国緩和

中国共産党に媚を売り、日本中に害をばらまく
この老害を早急に辞めさせるべき"
460,46-10,45Gs09Go09z,で、保障は?
461,47-1,hir*****,"期限や制限場所を指定するからコロナ拡大を抑制できない！人は抜け道を探すだろう！
まずは期限を設けないで緊急事態宣言をして
くれればみんな外出を諦める！まずは国民の心をポッキリ折った方が効果は高い気がする！"
462,47-2,*****,"1ヶ月防空壕に隠れていれば戦争終わるのか？

2/7に地上出てきたらミサイル落ちてこない保証のある戦争なんてあるのか？

飛行機の音が聞こえなくなった事確認してから普通は防空壕から出てくるんだろうが。

知性も危機感もなーんもない奴らに好き勝手自分達の人生振り回されるくらいなら自分達の好き勝手やらせてもらうわ。"
463,47-3,****,"休校にします！と言われた時は驚いたけれどかなり緊張感があったなあ…緊急事態なんだな、と認識して皆出歩かないようにしていた。

ところが疲弊したのかGOTOで出かけることを奨励され、これから楽しむぞというときに時短。

時短だけ？？
テレワークももっと強化してまずは都庁からしっかりしてほしい。今朝の大江戸線は間引きのせいでかなり混んでて前後も横も押し合いへし合い…恐怖でしたよ！"
464,47-4,ijm*****,"ジジイ共の私利私欲のせいで子供達が我慢さなければいけない
最低の政府
最低の総理
最低の黒幕
にもかかわらず、支持率あがらない野党
日本の政治は腐りきってる
橋本さん、新党立ち上げてください！"
465,47-5,str*****,"すみません。よくわからないことが・・・確か映画館や娯楽施設は営業できるんですよね？20時前なら利用可能なのか？
外出自粛ってなんあんだろう？もっとよく記事等を読まないとわからない(T ^ T)
まぁ、私個人は自粛している方だとは思うが・・・
明日、改めて緊急事態宣言内容を理解しよう"
466,47-6,sad*****,仮に収束しても、入国の緩和はしなくていい。同じ事の繰り返しだから、もっとも学習しないだろうけど。
467,47-7,kom*****,緊急事態宣言必要ないって。
468,47-8,eyf*****,"不要不急に当たる業種に全て給付金を！
なんで飲食店だけ？苦しいのは他の業種だって同じ"
469,47-9,raq*****,飲食関係の時短じゃもう手遅れじゃないかな。必要最低限の業界だけにして、一定期間の一斉対応の時期が来ているじゃないかな。
470,47-10,yam*****,"学校の部活を制限するのなら、相撲部屋でも他のスポーツで感染者は出ている。
五輪選手などは国策での開催だから規制しないのか！"
471,48-1,ic0*****,"暖かくなれば落ち着くんだよ。
よせよせそのままで乗り切れ！
今からでも遅くないからこの下らない宣言やめてマスクして、手洗いして出掛けて金使わせた方がいい。"
472,48-2,hir*****,"やれやれ、新年、松の内開ける前から
こんな、ザマか。コロナ様様だ。"
473,48-3,korokoro,"部活が制限？
あーあ、最悪。
また近所の公園で騒ぐバカなガキがたむろして騒音状態になる。
ほんと最悪。
朝早くから夜遅くまでバカ騒ぎ。
部活を制限したところで、サッカーなんて公園でできちゃうから、制限の意味はない。
学校の校庭でやるか、公園でやるかの違い。
だから公園の近隣に住んでいる住民からしてみれば、部活の制限は本当に迷惑。
また毎日毎日バカなガキが騒ぐ騒音に悩まされるのか…"
474,48-4,tak*****,"本当の緊急事態はコロナじゃない。
本来あるべき政治の役割が全く機能していない事こそが緊急事態である。

そりゃ
中韓北露も今がチャンスとばかりに日本に対して攻めの姿勢になりますわ"
475,48-5,chi*****,相変わらず行き当たりばったりの対策やな、自転車通勤とか、テレワークとか、アンタ達はお抱え運転付、国民馬鹿にするともいい加減にしとけ、みんなから、菅さんやるやんっていわれることばなんかしてんか、今更誰も期待しとらんけどな
476,48-6,mm*****,">一ヶ月で抑えられる根拠が無いのに期間を決めるのはなぜ？

とりあえず期間決めないと、国民だって辛抱できないでしょ！！"
477,48-7,rei******,全体構想自体は最初からあって小出しで反応を見つつ追加している感じがする、受験シーズンのため滅多なことでは学校を止められないのが悩ましいところ
478,48-8,nma*****,"言いたくないけど、経済両立し実施したGOTO関連により収集付かない状況にしてしまった…。

多くの方が自粛している中で、国会議員が自ら会食したりした事で制御不能ですわ！"
479,48-9,sun*****,"総理大臣に向いてないんだよ！
早く選挙しようよ！"
480,48-10,him*****,"もっと厳しい自粛が必要な感がいなめませんが、とりあえず評価します。
あとはどれだけ国民が自粛できるかです。
くれぐれも、国会議員の軽薄な行動がないことをいのります。"
481,49-1,tzk*****,国会開いても閉じてても今の政府が対して役に立たない事位分かるけどね。
482,49-2,t88*****,"お願い。
都民の皆様
静かにしてておくれよ。
しばらく地方に来ないでよ。"
483,49-3,薔薇依存,"緊急事態宣言なら11月に出すべきだった。
逆にここまで来たら今は出すべきではない。"
484,49-4,tor*****,"3月には落ちついてはくると思うがもたもたしていると変異種の感染が始まり秋には流行 爆発になるかもしれないし可能性は高い。
変異が頻繁に起こるとワクチンも効かないだろうし。3月までに感染者30万人 死亡者が1万を越えている可能性があるがおそらくそうなると思う。春から夏の間にどうするかが急務。もう今回は間に合わない。"
485,49-5,csy*****,テドロスと二階､習近平と同罪
486,49-6,mog*****,何がしたいの？
487,49-7,kaz*****,首都圏の人達、国民に自粛を求めて終わり？私達は必死で生活してますよ！誰よりも先に国会閉幕で自粛してますってか！
488,49-8,has*****,"緊急事態宣言を出すと言う事は、また個人事業主の持続化給付金をお願いします！
飲食店さんはじめ、他の業種、個人事業はダメージを受けるので頼みますよ！
もちろん不正受給者は厳罰対応で！"
489,49-9,y33*****,３月まで、どこまで拡大するのか怖いな。
490,49-10,poj*****,"ぶら下がりのメディアの人達は相変わらず肩がぶつかってもお構いなしに議員さんの後ろに張り付いてるんだね
映像で見てる限り、上層部の人達ほど、指針に合わせた対策をしようとしていないように見えるのに、指示できるのだろうか？
不思議でならない"
491,50-1,aya*****,"まずは外国人の無審査ザル入国をやめてください！
日本人には自粛要請しておいて一部の外国人はフリーパスなんて許せません！"
492,50-2,len*****,"飲食はいいよな、とりあえず1ヶ月で180万円丸儲け笑

やってられん"
493,50-3,smo*****,春節までなんて考えてるわけないでしょ。ホントにそんなこと思ってるの？ワイドショーに毒されすぎだわ…期限限るのなんて組織統制の常識。無期限にしたら先行き見えずに自殺したり、暴れ出したりするやつ出てくるんだよ。
494,50-4,dqy*****,なんで、1ヶ月？2ヶ月かかるって言ってる人も居るよ。もっと、臨機応変にしたら
495,50-5,mat*****,百貨店よりドンキホーテやイオンに要請してよ。
496,50-6,mih*****,十分な補償がなければ、協力したくてもできないのが現状…どうしたらいいのか…
497,50-7,yjj*****,"指定感染症を2類相当から5類に下げないと、看護師が寝たきり高齢者、痴呆症老人のコロナ患者の介護を行うため疲弊するのは素人でも分かる。
厚生労働省、政治家が悪いが、煽るマスゴミ、アホ野党が最大の汚点です。
緊急事態宣言などは愚策で、コロナ死者数より自殺者数は11月末までの累計で19101人と約８倍で毎年、肺炎死は約10万人です。"
498,50-8,gha*****,"百貨店、潰れますね。
財閥の力も、もはやだめでしょう。"
499,50-9,tst*****,"まずは緊急事態宣言で良いと思いますが、
法整備を整えたら
補償ありきでロックダウンに切り替えてください。
緊急事態宣言1か月ぐらいで、コロナ収まると思ってるんですか?
オリンピック本気でやりたいなら、今動かなきゃ絶対に無理です。"
500,50-10,so1*****,"緊急事態宣言渇望組には生活に困らない方々が多いのだろうが、大変迷惑。
金より命と言うが、今日の感染者数にしても無症状は何人、軽症は何人とまず言わない。
それはそうだろう、宣言だす理由あるのかとなるから。
致死率、死者数もせいぜい例年インフル並み。それなら、五類にして町医者も含め医療対応する方がよほど合理的だ。
歴史観でよく自虐史観というが、日本人は自虐的。あとは煽りにあおった、ＮＨＫやテレ朝の責任も大きい。ＮＨＫには皆さまのために新年度受信料は是非徴収を辞退し庶民を応援していただきたい。"
501,51-1,olw*****,休業要請じゃなければあまり変わらないね
502,51-2,ipo*****,運動施設は時短するのに五輪はやれるとか意味不明
503,51-3,cha*****,時短意味無し!!余計密になるわ～
504,51-4,zyj*****,自衛手段の鉄道編。横浜大宮間は京浜東北線を、首都圏の私鉄は各駅停車を推奨。ドアの開閉頻度が多く、多少は空気が流れる。
505,51-5,nak*****,おいおい、リモートしない会社への罰金明言しなさいよ
506,51-6,yuk*****,"総理はなんにも分かっちゃいない
では、１ヶ月でおさまらなかったら、辞職してください
そのくらいの気持ちがないから、ガースーだのバカまるだして、下を向いて原稿を読むくらいの情けなさしかないんです"
507,51-7,cor*****,"他の方も同じニュアンスの書き込みをされていますが
なぜ日付をゴールに設定しているのでしょうか？
目標は感染者数の減少なのでは…不思議でなりません。"
508,51-8,tsu*****,五輪 中止に
509,51-9,rhx*****,"こいつらいざとなったら辞任すればいいだけだしな笑

あとは任せた！って笑

もう日本終わったな"
510,51-10,ななしのごんちゃん,部活ダメならオリンピックはもっとダメでしょ医療崩壊の危機？って違うでしょ　医療崩壊です　なんで都市から緊急事態する？　地方から緊急事態発出して地方をゼロにしたら雰囲気変わるんじゃないかな
511,52-1,pon*****,"影響を最小限に抑えたいのは分かりますが、
ある程度は、「みんなで一緒に我慢しましょう」
みたいなのが、あってもいいと思う。
クラブ活動でも「〇〇部はリスクが高いからＮＧ」
「△△部は安全だからＯＫ」ってなんか違うような。"
512,52-2,vik*****,何にも考えていな幸せな人達だね。2、3カ月後のことは中学生でも予測できる。この人達に任せていたら、何年か後に、「年金基金が枯渇したので来月から出ません。反省しなければならない。」と平然と言いそう。
513,52-3,mar*****,"百貨店も…
みんなほんとに頑張ってお客様に感染させないようにしてるのに、議員さんたちは夜な夜なコソコソ会食してお咎めなし。減給もなし。
この時点でこんな危機的状況なのに2階のおっさんはオリンピックやるよ！当たり前。なんて言ってるし。バカすぎてほんまに呆れるわ。"
514,52-4,gol*****,"いくら、アホな菅ちゃんでも、さすがに今回は、
１ヶ月で終わるなんて思ってないでしょ"
515,52-5,edl*****,ジムは大丈夫と思いきやこれだもんなあ
516,52-6,kyu*****,"平等に全ての経済を止めれば良い。
代わりに今日本に居住する全ての人たちに１人１人に緊急事態宣言解除後、今年中に使い切らなければならない１００万円分のチケットやポイントを配給すろこととすれば、爆発的に経済を回復へ向かわせる事ができるでしょ。
ちなみに私なら配給１００万円を貯蓄や株券等の投資、ローンや借金の返済に使う事は出来ない条件を必ずつけます。
いかがでしょうか？？"
517,52-7,freudian,要請はいいから補償しろ。野党はずっと言っている。まじで自公は国民を殺しにかかってるな
518,52-8,dea*****,"去年4月の時より状況は酷いのに宣言の内容が緩い気がするんですが…

そもそも2/7解除ありきで話が進んでる気がしてならない…
春節前の解除が規定事項で2Fの了承を得たとしか思えない…"
519,52-9,bays<<<,"菅内閣は
何を考えてるんだか分からんな、コイツら"
520,52-10,svv*****,お願い、協力、時短程度の中途半端な緊急事態がでは減少しない！
521,53-1,svv*****,お願い、協力、時短程度の中途半端な緊急事態がでは減少しない！
522,53-2,kzy*****,は？限定的って言ってたのは飲食だけなんじゃないの？これもどうせ世論で批判されたから追加しただけだろ。自分で何も決められない総理。安倍となんにも変わんない。すみませんが、自粛はしません。
523,53-3,goe*****,"とりあえず外に出なくても会議できるあんたらがリモート会議をライブ中継してやってみたらどうだい？
だいぶ人出が減ると思うし、他の模範になるんじゃね？"
524,53-4,soo*****,時短じゃなく休業にして欲しい。マスク無しでお喋りしてる人は時短しても絶対に行く。少人数の会食ではなく、そもそも会食を禁止。一気に休業して、補償して、短期間で終わらせるようにする事がみんなの為になるのに、何故ズルズルするような案ばかりやるのか。真面目にやってる人がバカを見る。短期集中で国民皆が一丸とならないと死者が増えるばかりだ。
525,53-5,rin*****,"おいおい。。。。
2月7日までってまさか　（春節）2月8日から中国人の入国とか言い出すのか？！
二階いい加減にしろよ！
3月末日まで緊急事態宣言期間にすべき。！！
外国人の入国は3月末日まで禁止にすべき！！"
526,53-6,suz*****,百貨店は、もともと20時までの所がほとんどではないでしょうか？
527,53-7,20代丸の内OL,"2月7日までにしたのは2月12日からの春節で中国人を入国できるようにしてるって本当？？
もう本当にやめて欲しいんだけど…
中国ウイルスをこれ以上持ち込まないでほしい…"
528,53-8,r*****,"一ヶ月?
春節?"
529,53-9,rcm*****,"病院勤務です。
コロナ対応で疲れ、帰りにお店が閉まっていたら、食糧も買えない。
なんでもかんでも時短すればいいわけではない︎"
530,53-10,渋川の糞ぼんぼん,"1ヶ月で抑えられる根拠を教えて下さい。
本気で抑え込みたいなら、主要都市全てロックダウンさせなきゃ不可能だね。
菅は何がやりたいのか全くわからない。"
531,54-1,vdj*****,1ヶ月間って、イベントか？
532,54-2,FD3S,"時短要請に意味があるのか全く見えてこない。
政府はいい加減方策から見込める様々な予測値（行動減少率、感染者数、医療資源数、倒産率、GDP減少率、解雇数、etc）の公表を伴った発表をするべき。
今のままじゃマスコミに踊らされた国民の声に場当たり的に反応してるとしか思えない。
これを行えば結果はこうなるとしっかりした予測と共に公表して欲しい。
じゃないと行動制限さえすれば事態は解決すると短絡的に考えてる人間が増えるばかりで多面的な好転が見込めるとも思えない。"
533,54-3,ech*****,"もう二階や菅の議員辞職がなければ
国民は言うことを聞かないだろう。
Go to、入国緩和、高級会食など
全て二階に起因する。諸悪の根源だ！"
534,54-4,dre*****,"学校除外では意味ない。
子供が拾って来てジジババに移る図式を
遮断しないと。"
535,54-5,aut*****,"百貨店は元々、8時閉店がほとんどです。
大体、コロナ禍でなくても、7時以降なんて暇そのもの。コロナ禍なら尚更暇です。7時閉店で充分ですけど"
536,54-6,yok*****,"運動施設(ジム)は、むしろ、20時過ぎの、遅ければ遅い時間の方がガラガラになります
20時までのボリュームゾーンは営業、ガラガラタイムは閉める
飲食店以上に、密の促進です…"
537,54-7,gaa*****,外国からの入国を一切禁止にする、百歩譲って2週間の強制隔離。公共の場でマスクなしで会話する者や飲食店で馬鹿騒ぎする奴に罰則を設けるべき。感染対策意識が薄いモラルのない人間や情報弱者がいる限り、収束への道のりは遠いだろう。
538,54-8,kim*****,"緊急時短宣言をやれと言ってる訳じゃないんだよ
分かるか？自由な無能民主党さんよ"
539,54-9,kooooo*****,都会の皆さん頑張って
540,54-10,aaf*****,"運動施設規制するのは止めて欲しい。夜8時までと言うくらいなら良いが、去年の初夏のようにずっと閉館させないで。ちゃんとマスクして1人1人が消毒しながら遣っている。健康増進の施設まで規制するのは如何なものか？
むしろ、家族連れで来るショッピングモール、デパ地下、スーパーとかを規制して。そして電車の終電も午後10時くらいまでにして夜間の外出を出来なくする方が良いです。"
541,55-1,vio*****,"１か月で収まるわけがないのはさすがの政府もわかっているとは思う。特措法（というんでしたっけ？）の改正やら、今後自粛要請以外のところで強い力を発動できるようにするために整備する「時間稼ぎ」が目的なんだろうと思いたい。

今は首都圏で感染拡大はしているけど、これが全国規模で拡大したら破綻するだろうから、そういうときのために「整備する時間稼ぎの１か月間」であると思いたい…。

もちろん、宣言が発出されてもされなくても余計なことはしないようにはしますが…。"
542,55-2,po……,"学校始まったら大変な数になりそう。
学びも大事だけど命はもっと大事です。
イギリスからの変異種の市中感染も、すでにあるのではと、朝のテレビで言ってるのを見て更に不安しかない。
早く抑え込みたいなら中途半端でなく厳しすぎではくらいでやるべきだと思ってます。その方がV字回復につながると思います。"
543,55-3,kaz*****,パチンコ屋も含まれるみたいだな(￣▽￣;)
544,55-4,ん？,いつもの通り、呼びかけで終わりそう
545,55-5,ala*****,"春節だよ日本政府の大好きな春節だから
2月7日なんだよ、意地でも観光協会に尽くしてまた手間賃頂くアルバイトの代議士先生
私利私欲剥き出し素晴らしい根性
感染者抑えるなんてどこにも無い
自民党解体しないといけない"
546,55-6,odq*****,"ハァ〜 あれ？飲食店だけじゃなくなったの？。。
まぁ この結果は1/23以降の陽性者数ですね〜 。。。。。

コメント欄に色々と。。我々が選挙で選んだ議員ですからね〜 あきらめましょう まぁ 無投票でも当選するんですけどね。。。"
547,55-7,asa*****,"尾身会長は言っていましたよね。１ヶ月くらいじゃ収まらないって。なぜ、期限を区切る！
「収まるまで非常事態は止めません。保証はします」となぜ言えない。日本を滅ぼすつもりか。"
548,55-8,nag*****,"国民が自粛したら良いだけ。
政府ばかり責めても仕方ない。
自分や家族、大切な人を守れるのは自分達だけ。仕事や学校以外は外出しなければ良い。外出するんでしょ？ご飯食べに行くよね？買い物行くよね？
友達や恋人と遊びたいよね？
緊急事態宣言じゃなくロックダウンするの？されても耐えれるの？
暴徒化する若者、中年、年配者がわんさか出るかもよ。あと自粛警察もね。
経済も悪化どころじゃないよ？
二階や麻生の睨みあるだろうけど、
もっと上の人間達が許さないよ。
自分達の健康は自分達しか守れない。"
549,55-9,bit*****,"なんでこんなに情報を出すのが遅いの？

明日からよろしくねー！って、社会人のやることとは思えない。"
550,55-10,sup*****,"部活は、やり方次第で感染リスク抑えられると思う。
要はそれを守れるか守れないかだと思う。"
551,56-1,sak*****,僅か1週間前は7日平均が816人/日だったが、今日で1072人/日となった。これは、感染爆発を起こしていると考えた方がいい。医療破綻も現実味を帯びている。明日の緊急事態宣言は、単なる飲食店の時短営業だけに留まらず、昼間を含め全ての人の行動を抑止する事に比重を置くべきだろう。中途半端な施策では、もはや感染抑制は無理だ。
552,56-2,qhm*****,"どうやったらこんな無能政府に国民の声が届くの？
どこに電話したらいいの？
メールしたらいいの？
もう我慢の限界。
日本じゃなければ殺害されてるレベル。"
553,56-3,bla*****,学校閉鎖してください、お願いします
554,56-4,ros*****,時短がほんとに効果あると思ってるんですか。
555,56-5,ish*****,"Go toなんとかをするから、一挙に感染者がふえたなぁ。
人が動けば、感染のリスクがふえると考えなかったのか。
Go toなんとかで、旅行代金が安くなるという事で、旅行して感染し、死んだバカは、いないのか。"
556,56-6,ima*****,飲食店だけでなくスーパーマケットにも同じにするべきだ。
557,56-7,ああ,百貨店はええやろ
558,56-8,匿名課長,お前らの、その異様なコロナに対するビビリ、人を責める、それが一番のコロナの恐ろしさだ。山ほど感染してるのに対してしんでねーだろ。それよりターゲットにされて精神病んだ被害者や経済被害者のほうが多いんじゃね？しかも、しんだ人には年配者も多いだろ、長生きしすぎなんだよ今の世は。年金問題も解決してよい。気にせず普通に動いてりゃ経済まわって良いだろ、一気にみんな感染して抗体もできて。それで抗体できなかったら、何をしても遅かれ人類滅亡するし。
559,56-9,w11*****,二階さんは国民より経済が大切なのです。そして菅さんは国民より二階さんが大切なのです。
560,56-10,kam*****,無戦略、無計画、場当たり的、恣意的。。。。。
561,57-1,mon*****,夜８時までなら遊んでもかまわないんですよね？
562,57-2,××v,"経済を回すためには緊急事態宣言なんてありえないわって言ってた人がいたけど結局はこうなると緊急事態宣言になるよな。しかも一か月も。早いうちから他国のように感染者を調べて隔離、緊急事態宣言は早めに短くをしてればここまでにはならないのに。
経済回すためにはコロナを無視した人たちは少し考えて欲しいよな。
ただ、緊急事態宣言だけじゃなくこのタイミングではGOTOテイクアウトに変更する、飲食店が稼働しないことで困る一次産業までケアするような例えばネットで直売とか冬前に考えて欲しかったよな。"
563,57-3,uon*****,感染源になっているキャバクラやホストクラブなどは時短要請無視して営業を続けるのに、対して感染源にならない百貨店はルールを守って時短営業。おかしいな。
564,57-4,ppk*****,限定的緊急事態宣言なんて非実効的であることは英国、独、仏等の時短要請が無意味だったことが証明された。その為、日常必需品以外の小売店営業禁止、学校休止という対策に切り替えたのに何故、限定的なのかガースー政権の政策は理解に苦しむね。
565,57-5,fmv*****,"イギリスでは日本よりもずっと厳しいロックダウンを続けていますが一向に改善される見込みがありません、
政府はワクチンの供給が進めば解決するという見解を示していますが変異型のウィルスには疑問視する見方が濃厚です。"
566,57-6,mth*****,"何故夜8時が基準なのか？
ウィルスは昼も夜もない。
全く科学的根拠のない内容の緊急事態宣言。何年やっても感染が収まるはずがない。
それよりも本当に医療崩壊が目前というなら、コロナに対応する医療機関を増やすために新型コロナを指定感染症2類から5類にして、政府や自治体が受け入れ拒否しない様に病院を指導すべきではないか？"
567,57-7,eat*****,"菅総理と各大臣達は、台湾に行ってコロナの封じ込め方を教わって下さい。
一番は中国共産党と縁を切ることです、台湾はそれが出来たからコロナの封じ込めに成功した。

中国、韓国を入国禁止にしたとの報道も嘘ですね。中国にそんなに弱みを握られているのか？菅政権は、何か逆らえない事情があるのだろ️

新きようウイグル自治区は中国と何の関係のないイスラム教の国だ、他国を無理やり植民地にして1日17時間の強制労働を強いて、日本企業も11社が中国のジェノサイドに加担している。人道上許されない。️"
568,57-8,nxh*****,多分なにをして、何をしなくていいって判断が出来ないんでない？安倍の時の話なーんも聞いてなかったんでない？会見開いても下の紙読んでるだけだし。噛むし。もうやめて頂きたい。
569,57-9,tou*****,"どーして
ここまで
おかばなの？"
570,57-10,twt*****,この1年間の培ったものが全く活かせていない。数値も無ければ、ただただその場しのぎ。しのぎきれないし、終わらない。長引けば長引くほど日本の経済のダメージわ大きいのに、この緊急事態宣言の内容で今の政治家全て終わると思います。
571,58-1,konnitiha****,"医師会が会見ばっかやってないでもう少し頑張ってくれれば良い話。
（現場で治療にあたっている医療従事者の方には感謝と敬意を表します。）"
572,58-2,k81*****,"期間を決めるのは至極当然。
批判したい人はそんな事もわからんコロナ脳。
批判のネタ探し揚げ足取りにウンザリ。
前回と一緒で
延長するかどうかは
その時の様子を見て
ってとこでしょ。
フツーに考えたらわかる話。"
573,58-3,miy*****,昼飯で混むのは問題無いのね。
574,58-4,tht*****,もう無理だよぉ…　個人給付無いんでしょうか？
575,58-5,rtt*****,医師会は偉そうに政策に口出さないで、病院で患者受け入れるようにら働きかけろよ。自分たちのミスを責任転嫁しやがって。1番腹が立つ。
576,58-6,pin*****,"時短って意味あるの？
むしろ、長めに開けて、
コロナ対策の作業に充てる
時間の余裕を持ったり、
分散して入店出来るようにした方が
効果ありそうな気がするんだけど。
営業時間短いと、
限られた時間で集客しないといけないから、
感染拡大してくださいと言わんばかりの
状況になってしまうのではないのか？
時短無しで、家族もしくは4人以下の入店
とかにした方がいいんじゃないの？
酒飲んで、マスクとって大声で話す輩は、
20時前でもいるんだし。"
577,58-7,jpw*****,春高は最後までお願いしたい。
578,58-8,tos*****,"今回はパチンコ屋論争が起きてないですね。パチンコ屋でクラスターが起きていないの
ではなくて、パチンコ屋にいく客は、体調悪くても検査に数万円かけるのが嫌なので
検査していないのです。そういう集まりってこと。"
579,58-9,kin*****,"もう5類にしたほうがいい

医療現場は感染者の応急処置で大変なんでしょ

負担を減らしてコロナの有効な治療法の開発に力を入れた方がいいのでは？"
580,58-10,syu*****,"批判ばかりで無く、緊急事態宣言が発出される地域の方は、今度こそお願いします。

各知事が要請やお願いしてる中で、一部の方だと思いますが自粛等が出来なかった訳ですから、実行でお願いします。"
581,59-1,vin*****,"20時以降は外出自粛。20時までの時短営業。
20時までは営業する。そこで働く人たちが帰宅の途に着くのは早くても20時半頃でしょう。自粛できません。働く人たちの命を軽んじている気がしてしまう。
閉めない限りお客様は来る。でもきっと少ない。日々の予算達成は厳しいでしょう。でも従業員は出勤させなければいけない。人件費はじめ経費は発生する。どうすればバランスが取れるのでしょうか。生活必需品以外の小売の現場は、売れないわ経費はかかるわで大変厳しいのでは。"
582,59-2,yam*****,とりあえず1ヶ月だけど、ズルズル延長してGW明けに解除で考えているんでしょうね。
583,59-3,hrr*****,"すぐに大阪の感染者数の増加を見ると全国に広げるな(^-^)
まあ飲食店に行こうが家で飲もうが変わらないけどな(^-^)/"
584,59-4,sya*****,もちろん国会議員も県議も市議も皆さま時短してくださいませ。違反したら議員でも罰金課しましょうね。国難だから例外は作らない方がいいと思いますよ。
585,59-5,hws*****,根拠が無いものには従えません！移乗！！！
586,59-6,ndnouwjsa,"寒波が来るタイミングで時短営業。
アパレルとか何社か潰れるな。"
587,59-7,eke*****,近距離接客のマッサージ店や美容室も休業してもらいたい
588,59-8,hea*****,春節で大量コロナ蔓延でしょ。国民を犠牲に利権を得るためだけのパフォーマンスが今回の緊急事態宣言。
589,59-9,rgtmwptk,"私の会社の社長は在宅勤務推奨。そのすぐ下の幹部も推奨してるけど、間に入ってる部長課長がセキュリティがセキュリティがってアホみたいに騒いでパソコン１つでできる仕事なのに在宅勤務をさせようともしない。1日のほとんどをweb会議してるだけの自分達が完全在宅勤務できるんだからやれよ。それに完全なセキュリティなんて存在しないんだからセキュリティを言い訳にするのもやめろよ。いろんな提案してるのにそれはやったことがないからどうかな？ってやったことないから提案してるんだろうが。社内で感染者出てないから消極的な面もあるんだろうけど、感染者出たら完全に止まるぞ。何でいつも手を打たない？
そういうストレス抱えてる人いませんか？"
590,59-10,kon*****,"運動施設が8時までOKなのに部活がダメな理由はなに？
それだと学校外の体育館やグラウンドを借りて顧問なしで練習するのはいいってことになるんだが
最初からだが、時間とか基準があまりにも曖昧すぎる
子どもにきちんと筋の通った説明ができるような政策をして欲しい"
591,60-1,kaw*****,１ヶ月位が良い。意味無かったって分かるから。200位下がるかな。でも、又増える。
592,60-2,uwd*****,"何故に菅は貧乏臭い対策しか出来ないんだ。
こんなんじゃ、弱くて効果が出るには何ヶ月もかかる。
１回目はあの感染者数で２ヶ月かかった。
今回のは桁が違うだろう。
その間、何ヶ月も協力金を出せるのか？
2月に収まるつもりの様だが、何を根拠に言っているのか理解に苦しむ。"
593,60-3,hig*****,"時短。パチのならわかるが、コロナ感染拡大防止に何の意味が、何の効果があるのか未だにようワカラン。
2週間でいい。食料品屋くらいだけ開けて貰って、休業補償して一斉自宅待機じゃ駄目なんかね？それだけ経済止めただけで国傾くんかね？"
594,60-4,aud*****,"菅内閣は思いつきと希望的観測内閣だということが証明されましたね。
せめてコロナ増加した頃に空港封鎖やGoToトラベルやイート停止してれば良かったのに…もう今更、緊急事態宣言しても意味ないですね。
と言っても政府が推進強行し続けた飲食店限定の自粛要請ですけど…"
595,60-5,srw*****,春節に間に合う。また中国人来ちゃうのか？
596,60-6,abc*****,"中途半端にやるからあかんねん。

全店営業中止。
外出一切禁止。

完全ロックダウン。

これしかない。"
597,60-7,gto*****,中国の春節がちょうど始まるタイミングで終わる緊急事態宣言。あまりにもあからさまでは？！
598,60-8,mut*****,時間を短くしたら蜜になるのにバカなのかな
599,60-9,hir*****,"もう政府による人災だな。もう愛想が尽きた
各自ロックダウンされたと思って行動しましょう。
このままだと、経済も医療もどちらも崩壊してしまう。"
