,number,日付,ユーザー名,コメント
244,25-4,1時間前,tad*****,これ程国民の健康や命を考えない政府も珍しいな
245,25-5,1時間前,ライ麦畑でつかまった,"いやぁ...
「数字」って面白いなぁとねぇ...
「クルーズ船を入れて」「過去最高」「◯曜日では過去最高」etc...

毎日ホント飽きないもんですね（笑"
246,25-6,1時間前,ido*****,"医療の専門家や医療従事者の声に耳を傾けない政府の責任ですね。
高齢者や高齢者を抱える人は、不安で仕方がないと思う。
こんなに、政策が思いつきな首相は早く代わって欲しい。
安倍首相もどうかと思ったが、菅首相はそれ以上に問題があると思う。"
247,25-7,1時間前,net*****,新たな感染者ではなく、陽性判明者。なお、郵送検査などで東京で陽性と判明している者が増えているで、都民の陽性者とは限らない
248,25-8,1時間前,ggk*****,"外出を控えるように呼びかける一方で、
日比谷公園ではクリスマスマーケットを開催してるし。

こういったダブルスタンダードが至る所にあるのに、メディアはスルーだから、無責任だなぁ。"
249,25-9,1時間前,h_k*****,重傷者が減った要因は？軽症に移行したの？亡くなったの？そこが重要でしょう。減ったからと言って、安易に喜べないよ。
250,25-10,1時間前,Konta,"いつも思うのだけど、この重症者が""︎︎人減った""って言うのは︎︎人治ったの？それとも亡くなったの？それによっては情報の与える影響が違うと思う。"
251,26-1,1時間前,pok*****,"感染者数増えて、重傷者減って、死んでる人も高齢者で一握り。
インフルはおろか、ただの風邪よりもマシ。"
252,26-2,1時間前,iuj*****,検査の影響で感染者が少ない？100%検査をすれば空恐ろしい。いったい何人の感染者や陽性者が自覚なく徘徊しているのか？…怖い.危ない
253,26-3,1時間前,mar*****,仕事以外で街へ出る人は年末年始を病院のベッドの上や軽症者用のホテルで過ごしたいのだろうな。私も含め田舎人と比べるとほんと都会の人って我慢が足りないよね。
254,26-4,1時間前,usn*****,調整数なので明後日は900人超えですかね？
255,26-5,1時間前,eta*****,"「月曜日では過去最多」

どうしても感染拡大を印象付けたい朝日の必死の抵抗。"
256,26-6,1時間前,d14*****,"都のコロナ特別警報、響いてないよね。ほとんどの人がマンネリに感じている。
小池さんの言い方に心がこもってないんだろうか？具体的に医療崩壊警報とか、ヤバイ言葉で言わないとダメなんじゃない？正月の人のストップで多少減るかもしれないが、少なくとも年末まで減る要素はない。
日本のやり方って、どうもなぁ。検査も欧米に比べて少ないから、正確な感染者数も分からないし。"
257,26-7,1時間前,sup*****,"昨日が556人、今日が392人
このペースで行けば明日は228人、明後日が64人、三日後には-100人、もうコロナも終わりますね＾－＾"
258,26-8,1時間前,yoro,大臣コロナ会見でも毎回オウムのように同じコメントの繰り返しだから視聴者には何も響かなくなっている！本当に感染者を減らす気持ちがあるなら行動に移さなければまず感染者なんて減るわけがない!担当大臣も自分達と保身ばかり考えてないでたまには総理に自分の言葉で助言ぐらいしてほしいものだ!
259,26-9,1時間前,gmc*****,"勝負の3週間の結果がこれだよ。
まぁ、何も対策せずに精神論的なことばかりいってるからこんな事になる。
海外同様のやり方しなきゃおさまらないし、オリンピックなんて確実にできない！"
260,26-10,1時間前,fuj*****,"結局は個人の自覚がないんだよ。
政府や知事の責任はわずかで、国民全体の責任だと思う。"
261,27-1,1時間前,Gucchi Yuzou,"あんなバカ政府の言うことを、もう国民は聞く耳を持っていないのだろう。
どんどん増える感染者に対し、完全放置で何の対策も打てない政府。
マスコミも今日の感染者数を伝えるだけ。

この1年間、自民党は何をやってきたの？うわべの対応だけで、リスク管理は何も決めていない。
稚拙だけど、動こうとしていた民主党のほうがまだマシだった。"
262,27-2,1時間前,brf*****,"いかに、国民がコロナ感染に緊張感を持ち、感染しないようにするかが問われていますな。

ＧＯ　Ｔｏ停止しても、肝心の国民の行動次第によっては、意味がなくなる。"
263,27-3,1時間前,iku*****,"昨年、今頃かな？引いたことない風邪に悩まされ周りでも同じ症状の風邪が流行ったな。
インフルかなと思い受診しても陰性でその後に喘息気味に微熱がダラダラと続いた・・・

まさかね笑"
264,27-4,1時間前,mir*****,"重症者が63人だけなの？　ほんとかな？
東京の重症者の基準が狭いので、国の基準に比べて重症者が少なくカウントされてる気がする。"
265,27-5,1時間前,yo2*****,異変種が拡大している！
266,27-6,1時間前,nka*****,"マスゴミは、『過去最多』って文字を使いたいようだが、
ＧＷやＧＯＴＯ開始頃のＰＣＲ検査の検査数と陽性者率がどの様な推移となってるかを示して欲しい。
陽性者率が同程度なら検査数が２倍になれば、当然感染者数も２倍に増える。
国・厚労省も、そういう数字を出すべき。
数字をすべて明らかにした上で、自粛を願うなら国民は理解できる。
数字を明らかにしないのであれば、外国人の入国を完全に停止したうえで、国民に協力を願うべきでは？
このままでは、観光業・飲食業・食材卸売業・農水産物生産者は、生きていけませんよ。"
267,27-7,1時間前,Dddd,"「～では過去最多」というネタがそろそろ切れてきたな。
そのうち「第一月曜日としては過去最多」とか「５の付く日では過去最多」とか言い出すな(笑)"
268,27-8,1時間前,ogi*****,小池に知事を任せて良いものか？
269,27-9,1時間前,hid*****,少し減りました。ここから下降線たどりますように
270,27-10,1時間前,chi*****,"東京での感染者がどんどん増えてるのに、都内在住の義家族は今年の年末年始も地方にある義実家に帰ってくるそうです。無症状感染の場合だってあるのに。
今まで子どもが小さくても我慢して我慢させて自粛してがんばってきたのに…。
義実家に行ったあとに近くの自分の実家に行くのも躊躇する。万が一感染してたら一生後ろ指さされて過ごすんだろうなぁ。
今年の年末年始は義実家に行くのは嫌だな〜たぶん許されないけど。"
271,28-1,1時間前,kam*****,"ニュース見る限り東京は我慢出来なくなったーとかでどいつもこいつも外出して医療従事者も辞めまくってるみたいですね

別に東京の人間がそれでどうなろうが知ったことではないですが医療崩壊した後で地方に空きがあるからといってこっち来ないでくださいね

休日はスーパー引きこもりの僕はそもそもなんでそんなに外出したいのかさっぱりわからん（笑）"
272,28-2,1時間前,kai*****,"政府・行政にやる事はやれと立派な事を言うのも良いけど、
国民もやる事をやってないから感染拡大をするんだよね。"
273,28-3,1時間前,thu*****,"毎日過去最多
どうなってるんだ"
274,28-4,1時間前,wvw*****,"月曜の数字にしては多い〜〜
これは収まるどころか、増加する一方や！
抜本的な対策取る必要がある！"
275,28-5,1時間前,kak*****,散々コロナ関連のニュースをやった後に、トゥクトゥクへ乗って東京の並木通りのイルミネーションを紹介していた天気キャスターを見た時は逆に笑ったわ。
276,28-6,1時間前,ama*****,"エクモを外した方が亡くなって減ったのか治ったのかが分からない。
慣れとは恐ろしいもので連日の数百人の感染者が当たり前みたいに感じてきた。
コロナウイルスが何故怖いのか考えた。
単純な事だ。
ウイルスの大きさは0.1μmで人間の目では見えない。
見えないものは何処にいるか分からないから避けようがない。
ウイルスは何処に潜んでいるかも分からないし、どんな人が持っているかも判断できない。
感染して重症化すればエクモの世話になり助かっても後遺症が残る。
だから皆が怖がる。
対策も色々と講じられているがマスク手洗い三密を避けるぐらいしか一般人にはできない。
ウイルスを見る事はできないがウイルス感染の可視化は可能だと思う。
ここ一年の色々な要素を総合して富嶽にてデータ解析すればかなりの可視化は可能だ。
そして避けるべき行動や状況場所が特定できる。
ワクチンも期待されるが先ずは自分の頭で考えよう。"
277,28-7,1時間前,tue*****,年内に1000人行くな。20、30代で600人。
278,28-8,1時間前,dhz*****,"もういいよ
感染者数の発表は

命守るため断食して餓死みたいな
事になるぞ。"
279,28-9,1時間前,tk3*****,"医療崩壊、医療崩壊って、陽性者、死者とも欧州とはまさに桁違いに少ないでしよ

これで医療崩壊って、医療現場の体制の不備が原因でしょう？

医師会がもっと主導してこの半年間で体制を整えるべきだったのに、それをあたかも一般市民の責任にするなんて責任転嫁もはなはだしい。
自作自演でないか？

医療従事者現場の方には頭が下がります。
ただ、医療の体制は首をかしげます。
今のこの陽性者数は多くの一般市民がきちんとケアしての数字です。それをGOTOのせいにしたりするのは見当違い。あたかも自分たち医師会が被害者のように振る舞うのは、何か違うと思います。

欧州みると、この数字で緊急事態宣言なんて論外です。"
280,28-10,1時間前,rei*****,"駅前検査みたいな物もやり始めたし、検査件数が増えれば致し方ない。
重傷者だけ増えないよう、基礎疾患を持っている方には申し訳ないが、一般よりも色々と我慢頂くしか無いなぁ。若者もフラフラ飲み歩くのは我慢だな。"
281,29-1,1時間前,vir****,"数ヶ月前の週末の人数…
Xmasや年末年始…
感染リスクが更に高くなりそう

安定してきた中国…
コウモリ女が上海の夜景を見ながら
Xmasを楽しんだりして……"
282,29-2,1時間前,nob*****,"緊急事態宣言時、みなさんはどのようにしてたか覚えてますか？
８割おじさんの教えを必死に守ろうとしてませんでしたか？

結局、これ以上経済を壊したくない国は、絶対に緊急事態宣言はしません。ワクチンが出来るまで、ずっとこんな感じだと思います。出来ないんです。今の社会では。

国や政府や自治体が！等と言っても仕方ないんですから、自ら再度８割おじさんの教えをやるしかありません。ただ、経済も止めれませんので元気で感染しても病院のお世話にならないような若者は、生贄として遊び歩いてくださいね！
でも、絶対に高齢者や重症化の可能性のある方には、近づかないでね！"
283,29-3,1時間前,so1*****,"400人切りでは、メディアは煽りの迫力に欠けおもしろくないのだろう。

インフルエンザより致死率低いのだし、未知、手探りの春先とは違うのだから、さっさと二類から五類に見直すべき。尾身氏はなぜそれをいわないのか。

世の中、病気はコロナだけではない。"
284,29-4,1時間前,kig*****,"相変わらず政府が悪いとか言う人が居るけど経済活動と感染抑制なんて世界中の何処の国も成功していない。
秋から冬にかけて感染拡大は以前から医療関係者や専門家から言われた事です。
クリスマスや正月の支度で人の往来は増え忘年会もしている人が居る。
昨日の日曜日ショッピングモール、新宿、渋谷をネットニュースを見れば感染拡大する理由が納得出来る人の多さです。
結局は個々がどの様に考え日々の生活を過ごすかでしかないと思うけどね。"
285,29-5,1時間前,エル・ブランコ,もうヤバいじゃん
286,29-6,1時間前,o*****tma,政府や都が春と同じトーンで注意しろとか自粛しろとか言ったところで、もう誰も言う事聞かないよね。個人個人に危機感がないもの。危機感持ってる人は、政府に言われなくても自粛生活続けてるけどね。GoToに浮かれてたようなタイプの人は、もう自粛出来ない頭になってるよね。
287,29-7,1時間前,hai*****,たったの３００人。完全に終息したな。カラオケで忘年会予約してきた。
288,29-8,1時間前,gao*****,"毎回毎回〇曜日の過去最多！て出るのが何か笑ける(笑)
なんなんこのおめでとうございます！感は"
289,29-9,1時間前,suk*****,"昨日

久々 電車乗ったら

手すり吊革使ってたの
１車両に２人だった。

気をつけては、いるんだろうけどね"
290,29-10,1時間前,恐怖のイカちん大魔王１９９９,392人の方が風邪を引いたみたいですね　実にバカバカしいです
291,30-1,1時間前,,そのうち外国人は何人ですか？
292,30-2,1時間前,tak*****,他県と比べて自粛してないもん、当然でしょ。
293,30-3,1時間前,shi*****,ぜーんぶ、安倍晋三の対応の遅さと鈍感が原因
294,30-4,1時間前,kjl*****,"緊急事態宣言を出すべきだ。
医療崩壊する前に！"
295,30-5,1時間前,rpo*****,"人は外出減ってないし、外人は入って
くるわ話にならない。
今の政治が駄目すぎるから誰も聞かない
のでは？とにかく矛盾、無茶苦茶政治
だから仕方ない。
決断力無し、判断遅い、他責にする、
医療、専門家との足並みバラバラ､
自分たちは会食オッケー、国民にはお願い
する。本当腐った内閣だわ。"
296,30-6,1時間前,qwe*****,"また20代が最多
2次感染させた相手が死んだ場合は罪に問えないのかな"
297,30-7,1時間前,fuf*****,"もう自粛する人が減っています。
なので過去最高なんて自然の事、本人、家族、身近な人でも感染しないと分からない大変危険な状況です。"
298,30-8,1時間前,野々村,"月曜日で400人弱は多いのでは？
減ったからと言って、ここは慎重に受け取らないと。"
299,30-9,1時間前,yuf*****,やっぱり800人超えた日がヤマだったね。これからは減ってくる。チャートの基本通りの動きだよ。
300,30-10,1時間前,smy*****,ワイドショーで映し出される東京の人出の多さには首をかしげてしまいます。心境はわからないでもありませんが、今が我慢のしどころなのではと思うのですが。来週以降の感染者数が心配になります。政府の方達も勝負のとか言葉だけで言動が伴わずコロナを甘く見ているとしか思えない
301,31-1,1時間前,tk_*****,"で？
感染者数を見てると気が滅入るので、最近は見ないようにしてる。
そもそも、検査数が増えれば陽性者が増えるのは必然だし、自分ができる対策はこれまでと変わらない。数の増減なんてもはや意味ない。"
302,31-2,1時間前,sww*****,"自粛としか言わない政府も悪いが
大勢が、あれこれ愚にも付かない理由を付けて
出歩いているのも事実
これで感染が減ったら？でしかない
昔、野村監督が言われた通り
負け（感染の拡大）に不思議の負け無し"
303,31-3,1時間前,ghu*****,"ふ〜ん392人の感染っ！

でさっ、何人死んだのかな？

死に直結する病気なんでしょ！？"
304,31-4,1時間前,tak*****,"感染者が増える事に政府云々っじゃない、
コロナ対策は十分に知ってるんだから、
個人の意識が足りない事が最大級の原因だよ。"
305,31-5,1時間前,ml7*****,ヨーロッパで見つかった変異種に感染してる人もいるだろうな。
306,31-6,1時間前,kin*****,"前の土日の東京の人出が軒並み増えてたって、東京の人はアホなん？
それとも無責任な人々の集まりなんかな？
コロナの恩恵を受けてる業種もあるんやから、何も旅行業や飲食業ばかり助けなくても経済は回ってる。
今は医療と人命を何より優先すべき。
有事に備えてなかった者は仕方ない。"
307,31-7,1時間前,P,"大体この数の倍が実態だろうね。
おそらく800−９００人は行ったんだろうね。

いよいよ医療崩壊ですね。"
308,31-8,1時間前,ewvavgnodc,"問題は病院の数だけは先進国の中でもダントツにあるのに
アメリカやヨーロッパより早々に崩壊するこの国の医療制度では？"
309,31-9,1時間前,気になる,"重症者数（新規と累計）
死者数（新規と累計）
それらの年齢だけでええよ"
310,31-10,1時間前,oik*****,"政府の後手後手の結果が表した数字だと思います。明日、明後日とまた増えて行く事間違いないです。
国民は、慣れてきたのか外出していますね？どっかの議員達は宴会やっているし。説得力が無いですね？
地方議員も会食やっている。先頭切って自粛する方々が、この様です。
言うこと聞くわけ無いですね？"
311,32-1,1時間前,,"GoToを企画した時点で、何となくこうなるんじゃないかと感じてた。経済を回すのは大切だけど、相手はウイルスだから政治も経済も関係ない。当然の結果だと思う。
今できることは、国が飲食業やホテル業を中心に、前年の納税実績に応じて、必要とされる資金を超低金利で貸し出すしかないだろう。財源は、アホみたいに45兆円も買い込んで処分に困っている日銀のETFを利益確定して捻出すれば良い。もちろん、日経平均は暴落し、GPIFの運用にも多大な影響が出るが仕方がない。そもそも、今の株価水準は作られたものだし、本来の株価水準に戻るだけだろう。
株価の暴落は良いが、問題は、政府の意向で日銀のETFを売って、財源に回せるのか？だが。。これは理想だが、実際には色々な問題が出てくるんだろうね。"
312,32-2,1時間前,spr*****,重症患者が3人減ったのは回復したんですかね、それとも亡くなったんですかね
313,32-3,1時間前,bnr*****,小池知事が特別警報を出しても人の動きは止まっていない。無症状や軽症の１０～５０歳台が高齢者にどんどん感染を拡大させている。東京都の行政検査数が１日平均約７千件程度で陽性者が隔離出来ていない。検査、隔離、追跡調査の基本が出来ていないから制御不能に陥っている。
314,32-4,1時間前,tad*****,"子供のフットサル教室も以前にも増して練習が多くなった。
第一波の時は、緊急事態宣言が発令されてコーチの収入が激減したんで、今回は緊急事態宣言が発令されるまでとにかく稼いでおけと言った行動に出てるんだと思う。
スポーツ教室以外でもそんな感じで”今のうちにとにかく稼げ”と言った感じで以前にも増して人が集まってるんだと思います。"
315,32-5,1時間前,yaf*****,今週1000人超えそうだね…
316,32-6,1時間前,xio*****,もうさ だから何？って感じ
317,32-7,1時間前,gyp*****,"毎日記録更新してるよ。
止まる様子が全く無い。
国も都も何もしないからみんな自由に
行動するよ。
Goto無いだけで旅行に行く人は行くし
食べたい人は食べに行くし
仕方ない。"
318,32-8,1時間前,b11*****,"イギリス相当ヤバい
周辺国からシャットアウトの措置がとられ始めた
日本は呑気に海外からの人達を入国させていいんか？"
319,32-9,1時間前,郷に入っては郷に従え。,飲み歩いてるアホがいる。政府や都の責任のように報道するマスコミにも責任あり、
320,32-10,1時間前,えてめけね,以前、東京の65歳以上で既往症のある人をGotoから除外ってTVでやってた時に高齢者が旅先で、若い人がおとなしくしとけば良いって顔出しで言い放ったお婆さんがいた。命の選択をされるようになってもお婆さんは、そんな事言ってられるのか？って不快に思った。かたや、11月の連休にGotoトラベルを毎月利用しているとインタビューで答えていた母親と娘もいた。ガツガツして感染したらどうするんだろって思った。今は、老若男女そんな事を言ってる時じゃない。誰もが感染しない、させないようにしないと医療に携わる人にどれだけの負担を負わせているか今一度真剣に考えないといけない。自分勝手な事ばかり言ってる人は、感染しても自業自得だと思うが、それでも感染したら医療機関のお世話になり負担を増やすことになる。なんだかなぁ…って思ってしまう。
321,33-1,1時間前,bfvvl,三人減った・・亡くなったんだろ?
322,33-2,1時間前,gray,コロナって風邪の延長版みたいだった。
323,33-3,1時間前,teb*****,"山とか行くと半分は高齢者・・・。
何かのルールが出来た時、高齢者の方が聞き分け悪いと思う。"
324,33-4,1時間前,セガサターン,人数よりパーセンテージ出した方が良くないか
325,33-5,1時間前,fre*****,政府のトップたちが大勢で会食してるのに国民にだけ会食はするな　は無いでしょう　プルプル
326,33-6,1時間前,どら坊や,"gotoなど経済のこと考えるまえに、コロナの対策を口だけで何もしなかったから、もう手遅れです！
ここまで拡大したらロックダウンするレベルになってしまってますね。
政府が経済を優先したことで、逆にこれから破綻の道をたどることになっていくんでしょうね！"
327,33-7,1時間前,r2d7_2020,年末年始のコロナ検査の対応のこととか菅政権はきちんと考えてるのかな、、。なんか本当にガースはNIKAIのせいで自分で判断できないから心配。
328,33-8,1時間前,海の家テベス,その人数から今月に海外から来た人も入ってるんでしょ？11月は空港検疫の陽性者は225名。Go Toやら、外出しないとか、密とか関係なく、海外からの入国を拒否すればいい話。何故しない？
329,33-9,1時間前,風来坊ちゃん,"自粛しろ、とか、医療崩壊だ！

と騒いだところで、誰も損失の補填なんてしてくれないし、律義に守って失業、倒産しても、自己責任にされてしまう。

そんな状況で、現実問題、自粛なんて、できんだろｗ

人出がー！とか批判する前に、コロナ対応病院に嫌な仕事を押し付けたりしてることを改善するほうが先で、自粛だなんだは、本当に万策尽きて、最後にお願いするもののはずである。"
330,33-10,1時間前,cli*****,東京中、巣籠もりさせなきゃ感染なくならない。もうクリスマスも年末も正月もない！
331,34-1,1時間前,kog*****,"都民の皆さんは経済とコロナの両方をまわしていらっしゃるようで感服します。
なので申し訳ないですが、都民の皆さんはコロナ感染の場合は医療機関を使わないでいただけませんかね。
こいつらは、わざわざ紛争地に乗り込んで、テロリストに捕まった誰か様と同じ人種ですよ。"
332,34-2,1時間前,are*****,即時検査できるまではせめて入国制限してほしい
333,34-3,1時間前,afc*****,"ロックダウンしない限り感染者は減らないと思う。
国民に外出自粛などを要請することも大事だが、医療崩壊と騒ぎ立てるより
感染者が冬増えることはわかっていたことなので、政府主導で協力に医療体制の再構築を
望む。マスコミや知事たちは、危機を煽るだけで、何の役にも立たない。"
334,34-4,1時間前,一般市民,コロナはじまって以来ずっと情報見てきているが、東京の人が一番ゆるいというか無神経というか、単に人口密集地なわけだけではなく、感染を抑えようという気が一番薄いように思う。ここまで医療関係が苦しんでいてもなお他人事かのような振る舞いが多々見受けられる。そりゃ感染拡大するわなみたいな。東京だけではないが、より一層個人個人の気を引きしめないと、明日は我が身となったとき、十分な治療をうけられる補償なんてなくなってきている。そういうのをちゃんとしていれば飲食店だってここまで責められなかったはずだ。仕切り直しが大至急必要ではないか。
335,34-5,1時間前,yrw*****,"いやいや検査数と陽性率はどうなのよ。
800人超えたときも陽性率は7％ぐらいだったんでしょ？
増えた増えたとか言ってるけど、検査数と陽性率も記載しないと馬鹿な国民が余計に考えなくなるだけじゃん。
菅総理？あなたもその一人かい？"
336,34-6,1時間前,rbh*****,警報と給付金での対応では根本的解決にならぬ。ロックダウン並みの対応を望む。
337,34-7,1時間前,( ͡° ͜ʖ ͡°),"他所の国は再び入国制限かけ始めているのに日本は真逆の動き
どうせ変異型が広がっても「検討する（規制するとは言ってない）」って反応しかしないだろうね"
338,34-8,1時間前,sco*****,まだ何も対策取らないのですか？記録更新目指してるのかな？
339,34-9,1時間前,**********,"少人数の忘年会開催や街の人出を見ると政府や知事の言う事と都民の意識にずれを感じるのだけどね。
「東京は医療崩壊直前」と都病院協会が緊急メッセージを出しているのだからもう少し自粛しても良いのかもしれないね。
トリアージも間近だと思うので、議論された優先度を予め公表してほしいけれど、当然誰も決めたがらないよね。"
340,34-10,1時間前,yui*****,"連日「最多」が続いているが、その先は欧米諸国の惨状である。
危機管理は最悪の事態を想定して行うものであり、「注視する」などと言って傍観してる場合ではない。
ただちに入国緩和を停止して、医療専門家が主張する徹底的な検査と隔離を実施せよ！"
341,35-1,1時間前,n****,若者を中心とした人出が批判されてるが、これでみんなが過度な自粛に走り、緊急事態宣言中のようになったら、今度こそ本当に経済大丈夫？お店だって流石にもう立ち直れなくなるよ。考えようによっては、感染を恐れない一部のバカが経済を守っているとも言えるのでは？
342,35-2,1時間前,ogm*****,"医療の崩壊より
国家の崩壊だよ。"
343,35-3,1時間前,aag*****,"もはや、手遅れですよね！
きちんとした規制をかけないと抑えが効かない
経済が回らなくなるのも理解してますが！

ただ本当にどうにかしないと取り返しがつかなくなる。
色んな意見が有るとおもうが！
誤魔化しながら対応してもキリが無い"
344,35-4,1時間前,hel*****,"政府の態度はまったく模範とならないが、だからといって国民もそれに倣うことはないだろう。むしろ反面教師で気を引き締めるべき。
買物だってネットでできるし、何も混んでる都心へ土日に行ったり、家族でもない友人や職場の人間と大人数で集まって飲み食いする必要なんてない。
買物や食事だってお一人様で利用すれば店の利益にはなる。大人数で集まってマスクもせず大声で飲み食いしてる人間は本当にバカ丸出し。いい迷惑"
345,35-5,1時間前,new*****,欧州便からの入国は今すぐにやめてください️
346,35-6,1時間前,iuu*****,"会見もバラバラやって
うんざり
本当にまとまりがない
日本"
347,35-7,1時間前,rsk*****,"結局最後は、個々の自制心によるもの。
開いてたから行く。
して良いからする。
みんなしてるから。
慣れてきたから。

なんだか凄いね。。。。"
348,35-8,1時間前,wud*****,はっきり言わないと医療崩壊で通常治療が受けれません。事故した際にはたらい回しになり、死に繋がるので外出は危険ですと。
349,35-9,1時間前,-,例年なら大流行するはずのインフルが流行らなかったのは対コロナの民族性のなせる技で、いまの状況では欧米並みになっていく恐れがあると思う。日本だけ特別とは思えないが。
350,35-10,1時間前,Ｍ。,"濃厚接触者の検査増の影響もあるでしょうが感染者が減らないですね…。
ほとんどの方々が自己防衛を頑張っているなかで，一部の危機感がない人間のせいで感染が広まっているという状況とも違う気がします。
マスク・手洗い・消毒・蜜回避…，自己防衛も手詰まりなのではないでしょうか。"
351,36-1,1時間前,,"馬鹿の一つ覚えみたいに「経済を回す、経済を動かす」って言い訳して外出するの止めません（笑）
普通に感染予防して、普通に生活して、買い物してるだけでも経済は動いてるし。
週末だってイルミやイベントには出掛けて密になってても気にしないのに、
政治家や知事の会食には反論してるのってなんか違うと思う＜無論これに関しては賛成はしなけど＞
なんか抑制された反動で動いてる人達が多すぎ、「今」も大事だけど、「次」の楽しみを考えたほうが良いと思うんだけどね。
コロナが収束したら弾ければ良いじゃん。"
352,36-2,1時間前,lzc*****,クリスマスのイリュミネーションとかは、都や政府に言われなくても、主催者側が止めるのが当然の判断だと思うけど。要請されないからやめませんでは、幼稚すぎる。
353,36-3,1時間前,terratear,政府は打つ手無しの模様眺めモードかな。いいかげん飽きるよね。ワクチンが手に入ればただの風邪になるから、そこまでの我慢だ、って思っているでしょ。
354,36-4,1時間前,shi*****,"とりあえずPCR検査のCT値見直してください。
これは慎重ではなくて、不正確なだけです。

海外では陰性なのに、日本で検査すると陽性になる人が多すぎます。
国際基準とズレているんです。"
355,36-5,1時間前,apb*****,"感染者はその日の数、重症者は合計。
なんだかなぁ…"
356,36-6,1時間前,yas*****,ヤフコメはレべル低いなぁ、、
357,36-7,1時間前,End of the century,皆さんのコメントみる限り、感染は減らないですね、行くところまで行って、後悔するのではないですか、批判覚悟ですが。あのときこうしていればって
358,36-8,1時間前,bak,新型コロナは季節も関係なく、ほんとにwithコロナで何が正解なのか。春には対処法ができると良いが。
359,36-9,1時間前,ton*****,とりあえず1000人まち状態？早晩きますよ
360,36-10,1時間前,cafe,少なくて良かったと思っちゃいましたが、月曜にしては多かったのか。もう都内行きたくないわ。
361,37-1,1時間前,pan*****,東京の人はなぜ自粛しないのだろう。
362,37-2,1時間前,kun*****,モラルに頼るばかりでは収まらない。ロックダウンしかない。今すぐ、今すぐにです完全なる外出禁止令しかない。そのほうが経済再生の早道。
363,37-3,1時間前,********,"重症者減った減ったじゃなくて
回復、死亡の内訳が知りたいわけで"
364,37-4,1時間前,tak*****,喜んでいるのはコロナウイルスだけのようです。
365,37-5,1時間前,lov*****,未だにインフルエンザと同じとか言ってる人がいますが、この人達を強制的にどうにかしてほしいです。
366,37-6,1時間前,abc******,"早急に短いロックタウンした方がいい。
ちょうど年末年始の長期休暇に入る今がいい。
早くしないと医療も経済もダメになる。
お願いします、だけでは感染者は減らない。"
367,37-7,1時間前,sla*****,"月曜日の数値で過去最高で高止まりって、、
感覚が他人事ですね。"
368,37-8,1時間前,ais*****,"つーかさぁ、
３９２人感染と言うのは嘘800で、PCR検査で陽性になった人の数だろ。
陽性＝感染じゃないから。
そんな事分かってるはずなのに、なんでそう言う嘘を書くのかね？"
369,37-9,1時間前,s*****,自粛している人はもう既にしている、する気のない人は全く変える気なし。ＧｏＴｏのズルズル継続、首相の連日連夜の会食...知事が今になっていくらお願いベースの緊急会見やろうが変わらない。ＧｏＴｏの効果が出るのはまだ先、残念ながら大変な年末年始になる事は想定内。
370,37-10,1時間前,rav*****,"あれ、少ないじゃん、って思ったら月曜日では最多かよｗ
菅はその薄い頭下げて土下座しろ。
わーーーーびーーーーろーーーー

わーーーーびーーーーろーーーー"
371,38-1,1時間前,fkt*****,"高齢者が重症化しやすだけの風邪もどきに、騒ぎすぎじゃないですか。
本当にエクモを使ってまで助けないといけない、現役世代の人はどの程度の人数ですか？
亡くなった人の平均年齢は寿命年齢と近似、
これが何を意味するのかは、情報を与えれれて洗脳されてる人たちには理解できないんでしょうね。"
372,38-2,1時間前,rac*****,もう法律どうこう関係なくイギリスみたいな厳しい対策しないと
373,38-3,1時間前,oto*****,"近所のショッピングモールのフードコートで隣の席の家族連れが席で子供がマスクもせずにキャーキャーさけんでも親は無関心。
これだから増えるでしょう。"
374,38-4,1時間前,N,このままだとコロナ感染者は17倍になるとか言われてますよ。現在700人に一人だけれど考えたらぞっとします。
375,38-5,1時間前,chi*****,"重症者は治る人いるんだろうか。
エクモ使用者が減ると亡くなっただけねような気がする。"
376,38-6,1時間前,毎日のアルコールはカラダのハイオク♪,"これから年末年始になるにつれて医療機関が手薄になりがちなのに国としての国民への発信は無いのかよ？

結局は人の命の重みなど無関心なんだろうな。"
377,38-7,1時間前,yos*****,"、
利権ピック反対
、"
378,38-8,1時間前,oth*****,392人が少なく感じる。
379,38-9,1時間前,∮∮∮,"入国緩和を始めてから感染拡大が早かったのは既に変異種が入ってきているのかもしない。
そうなればGOTOは関係無く、入国緩和が原因であったと言わざるを得なくなる。

入国緩和を早急に見直さないと、今でも大変な医療は完全に崩壊してしまいますね。"
380,38-10,1時間前,aol*****,政府や総理などに対して批判する人が多いが、国民も含めて日本は頑張っていると思う。前向きに考えましょう。
381,39-1,1時間前,yoj*****,いやいや　もうコロナあきた！！
382,39-2,1時間前,ゆーりん,"コロナ感染者受け入れで30万円
経費かかっている病院にはありがたいと思う
年末年始の病床確保の為だと思いますが、新しく受け入れるとしたら準備も必要だし、人の確保も必要だし、他の入院や受診制限しないといけない
新たに手を上げるとこがあるかしら
うちも発熱外来対応はするけど、入院は無理だし、検査して薬出すしか出来ない
検査するとこは増えてるけど、入院出来るとこには限界がある"
383,39-3,1時間前,nis*****,勝負の三週間の結果がこれか。
